新闻,#genre#
卡通頻道(粵)CNCH443,http://iptvpro.pw:35451//加QQ1078393318/897659860/75.ts
卡通頻道(國)CNCH443,http://iptvpro.pw:35451//加QQ1078393318/897659860/76.ts
BBCCBeebies(粵)CH447,http://iptvpro.pw:35451//加QQ1078393318/897659860/77.ts
DaVinci達文西頻道CH460,http://iptvpro.pw:35451//加QQ1078393318/897659860/78.ts
ROCKEntertainmentCH501,http://iptvpro.pw:35451//加QQ1078393318/897659860/71.ts
ROCKActionCH502,http://iptvpro.pw:35451//加QQ1078393318/897659860/72.ts
AXNCH503,http://iptvpro.pw:35451//加QQ1078393318/897659860/79.ts
AnimaxCH504,http://iptvpro.pw:35451//加QQ1078393318/897659860/80.ts
tvNCH505,http://iptvpro.pw:35451//加QQ1078393318/897659860/81.ts
FashionBoxCH603,http://iptvpro.pw:35451//加QQ1078393318/897659860/84.ts
MezzoLiveCH604,http://iptvpro.pw:35451//加QQ1078393318/897659860/85.ts
鳳凰中文台CH610,http://iptvpro.pw:35451//加QQ1078393318/897659860/87.ts
鳳凰香港台CH612,http://iptvpro.pw:35451//加QQ1078393318/897659860/86.ts
TVBSUPER-FREE(粵)CH01,http://iptvpro.pw:35451//加QQ1078393318/897659860/47.ts
TVBSUPER-FREE(國)CH001,http://iptvpro.pw:35451//加QQ1078393318/897659860/50.ts
TVB黃金翡翠台CH080,http://iptvpro.pw:35451//加QQ1078393318/897659860/52.ts
TVB千禧經典台CH086,http://iptvpro.pw:35451//加QQ1078393318/897659860/53.ts
TVB亞洲劇台(原聲)CH087,http://iptvpro.pw:35451//加QQ1078393318/897659860/54.ts
TVB亞洲劇台(粵)CH087,http://iptvpro.pw:35451//加QQ1078393318/897659860/55.ts
TVB華語劇台(粵)CH089,http://iptvpro.pw:35451//加QQ1078393318/897659860/56.ts
TVB華語劇台(國)CH089,http://iptvpro.pw:35451//加QQ1078393318/897659860/57.ts
TVB黃金華劇台(粵)CH090,http://iptvpro.pw:35451//加QQ1078393318/897659860/58.ts
TVB黃金華劇台(國)CH090,http://iptvpro.pw:35451//加QQ1078393318/897659860/59.ts
TVB娛樂新聞台CH091,http://iptvpro.pw:35451//加QQ1078393318/897659860/60.ts
TVB戲曲台CH098,http://iptvpro.pw:35451//加QQ1078393318/897659860/61.ts
SUPERKidsChannelCH100,http://iptvpro.pw:35451//加QQ1078393318/897659860/62.ts
ZooMooCH101,http://iptvpro.pw:35451//加QQ1078393318/897659860/63.ts
尼克兒童NickelodeonCH104,http://iptvpro.pw:35451//加QQ1078393318/897659860/64.ts
TVB粵語片台CH200,http://iptvpro.pw:35451//加QQ1078393318/897659860/65.ts
ThrillCH202,http://iptvpro.pw:35451//加QQ1078393318/897659860/66.ts
天映經典(粵)CCMCH203,http://iptvpro.pw:35451//加QQ1078393318/897659860/67.ts
天映經典(國)CCMCH203,http://iptvpro.pw:35451//加QQ1078393318/897659860/68.ts
天映頻道(粵)CM,http://iptvpro.pw:35451//加QQ1078393318/897659860/124.ts
天映頻道(國)CM,http://iptvpro.pw:35451//加QQ1078393318/897659860/125.ts
TVB功夫台(粵),http://iptvpro.pw:35451//加QQ1078393318/897659860/118.ts
TVB功夫台(國),http://iptvpro.pw:35451//加QQ1078393318/897659860/119.ts
TVB星河(國),http://iptvpro.pw:35451//加QQ1078393318/897659860/121.ts
TVB星河(粵),http://iptvpro.pw:35451//加QQ1078393318/897659860/120.ts
TVBPearlDrama明珠劇集台,http://iptvpro.pw:35451//加QQ1078393318/897659860/117.ts
TVB生活台,http://iptvpro.pw:35451//加QQ1078393318/897659860/126.ts
SUPER獎門人CH02,http://iptvpro.pw:35451//加QQ1078393318/897659860/127.ts
SUPEREYTCH03,http://iptvpro.pw:35451//加QQ1078393318/897659860/128.ts
SUPER識食CH04,http://iptvpro.pw:35451//加QQ1078393318/897659860/129.ts
SUPER識歎CH05,http://iptvpro.pw:35451//加QQ1078393318/897659860/130.ts
SUPERMusicCH06,http://iptvpro.pw:35451//加QQ1078393318/897659860/131.ts
SUPER金曲CH07,http://iptvpro.pw:35451//加QQ1078393318/897659860/132.ts
SUPER煲劇CH08,http://iptvpro.pw:35451//加QQ1078393318/897659860/133.ts
SUPER劇場CH09,http://iptvpro.pw:35451//加QQ1078393318/897659860/134.ts
SUPER話當年CH10,http://iptvpro.pw:35451//加QQ1078393318/897659860/135.ts
星空衛視,http://iptvpro.pw:35451//加QQ1078393318/897659860/145.ts
香港C＋頻道,http://iptvpro.pw:35451//加QQ1078393318/897659860/147.ts
ChannelV音樂台,http://iptvpro.pw:35451//加QQ1078393318/897659860/143.ts
澳視澳門台,http://iptvpro.pw:35451//加QQ1078393318/897659860/150.ts
澳視衛星台,http://iptvpro.pw:35451//加QQ1078393318/897659860/151.ts
澳門蓮花衛視,http://iptvpro.pw:35451//加QQ1078393318/897659860/148.ts
澳門體育台,http://iptvpro.pw:35451//加QQ1078393318/897659860/152.ts
NowSportsPlusCH680,http://iptvpro.pw:35451//加QQ1078393318/897659860/114.ts
NowGolf2CH683,http://iptvpro.pw:35451//加QQ1078393318/897659860/115.ts
NowGolf3CH684,http://iptvpro.pw:35451//加QQ1078393318/897659860/116.ts
SUPERSportsCH11,http://iptvpro.pw:35451//加QQ1078393318/897659860/48.ts
台湾TW,#genre#
民视,http://iptvpro.pw:35451//加QQ1078393318/897659860/156.ts
中视,http://iptvpro.pw:35451//加QQ1078393318/897659860/159.ts
华视,http://iptvpro.pw:35451//加QQ1078393318/897659860/158.ts
台视,http://iptvpro.pw:35451//加QQ1078393318/897659860/157.ts
公视,http://iptvpro.pw:35451//加QQ1078393318/897659860/160.ts
中天综合台,http://iptvpro.pw:35451//加QQ1078393318/897659860/175.ts
中天娱乐台,http://iptvpro.pw:35451//加QQ1078393318/897659860/176.ts
中天亚洲台,http://iptvpro.pw:35451//加QQ1078393318/897659860/177.ts
东森综合台,http://iptvpro.pw:35451//加QQ1078393318/897659860/178.ts
东森电影台,http://iptvpro.pw:35451//加QQ1078393318/897659860/179.ts
东森戏剧台,http://iptvpro.pw:35451//加QQ1078393318/897659860/180.ts
东森洋片台,http://iptvpro.pw:35451//加QQ1078393318/897659860/181.ts
TVBS综合,http://iptvpro.pw:35451//加QQ1078393318/897659860/182.ts
TVBS欢乐台,http://iptvpro.pw:35451//加QQ1078393318/897659860/183.ts
TVBS精采台,http://iptvpro.pw:35451//加QQ1078393318/897659860/184.ts
TVBS台剧台,http://iptvpro.pw:35451//加QQ1078393318/897659860/186.ts
TVBS综艺台,http://iptvpro.pw:35451//加QQ1078393318/897659860/185.ts
三立综合台,http://iptvpro.pw:35451//加QQ1078393318/897659860/187.ts
三立台湾台,http://iptvpro.pw:35451//加QQ1078393318/897659860/188.ts
三立戏剧台,http://iptvpro.pw:35451//加QQ1078393318/897659860/190.ts
三立都会台,http://iptvpro.pw:35451//加QQ1078393318/897659860/189.ts
中视经典台,http://iptvpro.pw:35451//加QQ1078393318/897659860/196.ts
中视菁采台,http://iptvpro.pw:35451//加QQ1078393318/897659860/197.ts
民视台湾台,http://iptvpro.pw:35451//加QQ1078393318/897659860/192.ts
民视影剧台,http://iptvpro.pw:35451//加QQ1078393318/897659860/194.ts
民视旅游台,http://iptvpro.pw:35451//加QQ1078393318/897659860/195.ts
民视第一台,http://iptvpro.pw:35451//加QQ1078393318/897659860/191.ts
民视综艺台,http://iptvpro.pw:35451//加QQ1078393318/897659860/193.ts
台视综合台,http://iptvpro.pw:35451//加QQ1078393318/897659860/198.ts
公视3,http://iptvpro.pw:35451//加QQ1078393318/897659860/200.ts
公视台语台,http://iptvpro.pw:35451//加QQ1078393318/897659860/199.ts
公视戏剧,http://iptvpro.pw:35451//加QQ1078393318/897659860/201.ts
HBO,http://iptvpro.pw:35451//加QQ1078393318/897659860/202.ts
HBOFamily,http://iptvpro.pw:35451//加QQ1078393318/897659860/204.ts
HBOHits,http://iptvpro.pw:35451//加QQ1078393318/897659860/205.ts
HBOSignature,http://iptvpro.pw:35451//加QQ1078393318/897659860/203.ts
HBOLOGO,http://iptvpro.pw:35451//加QQ1078393318/897659860/206.ts
CINEMAX,http://iptvpro.pw:35451//加QQ1078393318/897659860/207.ts
美亚电影台湾台,http://iptvpro.pw:35451//加QQ1078393318/897659860/208.ts
好莱坞电影台,http://iptvpro.pw:35451//加QQ1078393318/897659860/210.ts
壹电影,http://iptvpro.pw:35451//加QQ1078393318/897659860/222.ts
龙祥时代电影,http://iptvpro.pw:35451//加QQ1078393318/897659860/209.ts
私人影院,http://iptvpro.pw:35451//加QQ1078393318/897659860/225.ts
影迷数位纪实台,http://iptvpro.pw:35451//加QQ1078393318/897659860/214.ts
影迷数字电影台,http://iptvpro.pw:35451//加QQ1078393318/897659860/218.ts
我的欧洲电影MyCinemaEurope,http://iptvpro.pw:35451//加QQ1078393318/897659860/220.ts
华纳电影台WarnerTV,http://iptvpro.pw:35451//加QQ1078393318/897659860/221.ts
AMC最爱电影,http://iptvpro.pw:35451//加QQ1078393318/897659860/219.ts
AXN,http://iptvpro.pw:35451//加QQ1078393318/897659860/211.ts
CATCHPLAY电影台,http://iptvpro.pw:35451//加QQ1078393318/897659860/216.ts
CI罪案侦查频道,http://iptvpro.pw:35451//加QQ1078393318/897659860/213.ts
CinemaWorld,http://iptvpro.pw:35451//加QQ1078393318/897659860/215.ts
CNEX视纳华仁纪实频道,http://iptvpro.pw:35451//加QQ1078393318/897659860/217.ts
HITS频道,http://iptvpro.pw:35451//加QQ1078393318/897659860/212.ts
Lifetime娱乐频道,http://iptvpro.pw:35451//加QQ1078393318/897659860/223.ts
tvN,http://iptvpro.pw:35451//加QQ1078393318/897659860/224.ts
纬来综合台,http://iptvpro.pw:35451//加QQ1078393318/897659860/229.ts
纬来戏剧台,http://iptvpro.pw:35451//加QQ1078393318/897659860/230.ts
纬来日本台,http://iptvpro.pw:35451//加QQ1078393318/897659860/227.ts
纬来电影台,http://iptvpro.pw:35451//加QQ1078393318/897659860/231.ts
纬来精彩台,http://iptvpro.pw:35451//加QQ1078393318/897659860/232.ts
纬来育乐台,http://iptvpro.pw:35451//加QQ1078393318/897659860/228.ts
龙华偶像台,http://iptvpro.pw:35451//加QQ1078393318/897659860/236.ts
龙华卡通台,http://iptvpro.pw:35451//加QQ1078393318/897659860/239.ts
龙华戏剧台,http://iptvpro.pw:35451//加QQ1078393318/897659860/235.ts
龙华日韩台,http://iptvpro.pw:35451//加QQ1078393318/897659860/234.ts
龙华洋片台,http://iptvpro.pw:35451//加QQ1078393318/897659860/238.ts
龙华电影台,http://iptvpro.pw:35451//加QQ1078393318/897659860/233.ts
龙华经典台,http://iptvpro.pw:35451//加QQ1078393318/897659860/237.ts
八大综合台,http://iptvpro.pw:35451//加QQ1078393318/897659860/241.ts
八大娱乐台,http://iptvpro.pw:35451//加QQ1078393318/897659860/245.ts
八大戏剧台,http://iptvpro.pw:35451//加QQ1078393318/897659860/242.ts
八大第一台,http://iptvpro.pw:35451//加QQ1078393318/897659860/244.ts
八大精彩台,http://iptvpro.pw:35451//加QQ1078393318/897659860/240.ts
八大综艺台,http://iptvpro.pw:35451//加QQ1078393318/897659860/243.ts
ELTA爱尔达娱乐台,http://iptvpro.pw:35451//加QQ1078393318/897659860/252.ts
ELTA爱尔达影剧台,http://iptvpro.pw:35451//加QQ1078393318/897659860/248.ts
ELTA爱尔达日韩台,http://iptvpro.pw:35451//加QQ1078393318/897659860/250.ts
ELTA爱尔达生活旅游台,http://iptvpro.pw:35451//加QQ1078393318/897659860/251.ts
ELTA爱尔达综合台,http://iptvpro.pw:35451//加QQ1078393318/897659860/249.ts
靖天综合台,http://iptvpro.pw:35451//加QQ1078393318/897659860/279.ts
靖天卡通台,http://iptvpro.pw:35451//加QQ1078393318/897659860/277.ts
靖天戏剧台,http://iptvpro.pw:35451//加QQ1078393318/897659860/275.ts
靖天日本台,http://iptvpro.pw:35451//加QQ1078393318/897659860/280.ts
靖天映画台,http://iptvpro.pw:35451//加QQ1078393318/897659860/281.ts
靖天欢乐台,http://iptvpro.pw:35451//加QQ1078393318/897659860/284.ts
靖天电影台,http://iptvpro.pw:35451//加QQ1078393318/897659860/282.ts
靖天育乐台,http://iptvpro.pw:35451//加QQ1078393318/897659860/283.ts
靖天资讯台,http://iptvpro.pw:35451//加QQ1078393318/897659860/285.ts
靖洋戏剧台,http://iptvpro.pw:35451//加QQ1078393318/897659860/276.ts
靖洋卡通NiceBingo,http://iptvpro.pw:35451//加QQ1078393318/897659860/278.ts
KLT-靖天国际,http://iptvpro.pw:35451//加QQ1078393318/897659860/286.ts
探索频道DiscoveryChannel,http://iptvpro.pw:35451//加QQ1078393318/897659860/287.ts
探索亚洲DiscoveryAsia,http://iptvpro.pw:35451//加QQ1078393318/897659860/288.ts
探索动力DiscoveryDMAX,http://iptvpro.pw:35451//加QQ1078393318/897659860/290.ts
探索科学DiscoveryScience,http://iptvpro.pw:35451//加QQ1078393318/897659860/289.ts
历史频道2HISTORY2,http://iptvpro.pw:35451//加QQ1078393318/897659860/293.ts
历史频道History,http://iptvpro.pw:35451//加QQ1078393318/897659860/292.ts
国家地理NationalGeographic,http://iptvpro.pw:35451//加QQ1078393318/897659860/294.ts
动物星球,http://iptvpro.pw:35451//加QQ1078393318/897659860/295.ts
亚洲美食频道AsianFoodNetwork,http://iptvpro.pw:35451//加QQ1078393318/897659860/300.ts
DiscoveryEVE,http://iptvpro.pw:35451//加QQ1078393318/897659860/291.ts
Smart知识台,http://iptvpro.pw:35451//加QQ1078393318/897659860/331.ts
TLC旅游台,http://iptvpro.pw:35451//加QQ1078393318/897659860/298.ts
LoveNature,http://iptvpro.pw:35451//加QQ1078393318/897659860/296.ts
BBCEarth,http://iptvpro.pw:35451//加QQ1078393318/897659860/304.ts
BBCLifestyle,http://iptvpro.pw:35451//加QQ1078393318/897659860/305.ts
Asia亚洲旅游台,http://iptvpro.pw:35451//加QQ1078393318/897659860/297.ts
TravelChannel旅游台,http://iptvpro.pw:35451//加QQ1078393318/897659860/299.ts
居家乐活频道HGTV,http://iptvpro.pw:35451//加QQ1078393318/897659860/303.ts
美食星球,http://iptvpro.pw:35451//加QQ1078393318/897659860/301.ts
幸福空间居家台,http://iptvpro.pw:35451//加QQ1078393318/897659860/347.ts
东森幼幼台,http://iptvpro.pw:35451//加QQ1078393318/897659860/308.ts
卡通频道CN,http://iptvpro.pw:35451//加QQ1078393318/897659860/314.ts
卡通台Cartoonito,http://iptvpro.pw:35451//加QQ1078393318/897659860/318.ts
达文西频道DaVinCi,http://iptvpro.pw:35451//加QQ1078393318/897659860/316.ts
梦工厂动画Dreamworks,http://iptvpro.pw:35451//加QQ1078393318/897659860/317.ts
尼克儿童频道Nickelodeon,http://iptvpro.pw:35451//加QQ1078393318/897659860/312.ts
MOMO亲子台,http://iptvpro.pw:35451//加QQ1078393318/897659860/313.ts
Animax卡通,http://iptvpro.pw:35451//加QQ1078393318/897659860/310.ts
BBCCbeebies,http://iptvpro.pw:35451//加QQ1078393318/897659860/319.ts
BabyTV,http://iptvpro.pw:35451//加QQ1078393318/897659860/320.ts
Boomerang,http://iptvpro.pw:35451//加QQ1078393318/897659860/309.ts
NickJr.儿童频道,http://iptvpro.pw:35451//加QQ1078393318/897659860/311.ts
爱放动漫台I-Fun,http://iptvpro.pw:35451//加QQ1078393318/897659860/315.ts
经典卡通台,http://iptvpro.pw:35451//加QQ1078393318/897659860/360.ts
高点综合台,http://iptvpro.pw:35451//加QQ1078393318/897659860/324.ts
JET综合台,http://iptvpro.pw:35451//加QQ1078393318/897659860/322.ts
MOMO综合台,http://iptvpro.pw:35451//加QQ1078393318/897659860/321.ts
ETtoday综合台,http://iptvpro.pw:35451//加QQ1078393318/897659860/367.ts
EYE戏剧台,http://iptvpro.pw:35451//加QQ1078393318/897659860/307.ts
EYE旅游台,http://iptvpro.pw:35451//加QQ1078393318/897659860/306.ts
ROCKAction,http://iptvpro.pw:35451//加QQ1078393318/897659860/328.ts
ROCKEntertainment,http://iptvpro.pw:35451//加QQ1078393318/897659860/327.ts
ROCKExtreme,http://iptvpro.pw:35451//加QQ1078393318/897659860/329.ts
Z频道,http://iptvpro.pw:35451//加QQ1078393318/897659860/339.ts
东风卫视,http://iptvpro.pw:35451//加QQ1078393318/897659860/340.ts
彩昌影剧,http://iptvpro.pw:35451//加QQ1078393318/897659860/355.ts
经典电影台,http://iptvpro.pw:35451//加QQ1078393318/897659860/359.ts
华艺中文台,http://iptvpro.pw:35451//加QQ1078393318/897659860/345.ts
台湾戏剧台,http://iptvpro.pw:35451//加QQ1078393318/897659860/325.ts
无线卫星亚洲台TVBSAsia,http://iptvpro.pw:35451//加QQ1078393318/897659860/332.ts
INULTRA,http://iptvpro.pw:35451//加QQ1078393318/897659860/363.ts
FashionTV,http://iptvpro.pw:35451//加QQ1078393318/897659860/341.ts
Fun探索娱乐台,http://iptvpro.pw:35451//加QQ1078393318/897659860/356.ts
GlobalTrekker,http://iptvpro.pw:35451//加QQ1078393318/897659860/333.ts
ChannelV音乐台,http://iptvpro.pw:35451//加QQ1078393318/897659860/357.ts
LUXETVChannel,http://iptvpro.pw:35451//加QQ1078393318/897659860/362.ts
MezzoLive,http://iptvpro.pw:35451//加QQ1078393318/897659860/343.ts
Moonbug,http://iptvpro.pw:35451//加QQ1078393318/897659860/364.ts
年代MUCH台,http://iptvpro.pw:35451//加QQ1078393318/897659860/358.ts
电影原声台CMusic,http://iptvpro.pw:35451//加QQ1078393318/897659860/326.ts
音乐频道MTVLive,http://iptvpro.pw:35451//加QQ1078393318/897659860/344.ts
MTVAsia,http://iptvpro.pw:35451//加QQ1078393318/897659860/330.ts
TRACEUrban,http://iptvpro.pw:35451//加QQ1078393318/897659860/342.ts
猪哥亮歌厅秀,http://iptvpro.pw:35451//加QQ1078393318/897659860/354.ts
古典乐CLASSICA,http://iptvpro.pw:35451//加QQ1078393318/897659860/348.ts
GINXEsportsTV,http://iptvpro.pw:35451//加QQ1078393318/897659860/334.ts
博斯PaceSport,http://iptvpro.pw:35451//加QQ1078393318/897659860/365.ts
时尚运动X,http://iptvpro.pw:35451//加QQ1078393318/897659860/346.ts
环球旅行家Globetrotter,http://iptvpro.pw:35451//加QQ1078393318/897659860/302.ts
生活時尚TV5MONDESTYLE,http://iptvpro.pw:35451//加QQ1078393318/897659860/361.ts
金光布袋戏,http://iptvpro.pw:35451//加QQ1078393318/897659860/352.ts
霹雳台湾台,http://iptvpro.pw:35451//加QQ1078393318/897659860/351.ts
阿里郎频道Arirang,http://iptvpro.pw:35451//加QQ1078393318/897659860/350.ts
韩国娱乐台KMTV,http://iptvpro.pw:35451//加QQ1078393318/897659860/349.ts
麦哲伦频道MagellanTV,http://iptvpro.pw:35451//加QQ1078393318/897659860/366.ts
原住民族电视台,http://iptvpro.pw:35451//加QQ1078393318/897659860/381.ts
客家电视台,http://iptvpro.pw:35451//加QQ1078393318/897659860/380.ts
国会频道1,http://iptvpro.pw:35451//加QQ1078393318/897659860/393.ts
国会频道2,http://iptvpro.pw:35451//加QQ1078393318/897659860/394.ts
国兴卫视,http://iptvpro.pw:35451//加QQ1078393318/897659860/338.ts
东森购物1台,http://iptvpro.pw:35451//加QQ1078393318/897659860/375.ts
东森购物2台,http://iptvpro.pw:35451//加QQ1078393318/897659860/376.ts
东森购物3台,http://iptvpro.pw:35451//加QQ1078393318/897659860/377.ts
东森购物5台,http://iptvpro.pw:35451//加QQ1078393318/897659860/378.ts
东森超视台,http://iptvpro.pw:35451//加QQ1078393318/897659860/374.ts
大爱电视,http://iptvpro.pw:35451//加QQ1078393318/897659860/396.ts
大爱二台,http://iptvpro.pw:35451//加QQ1078393318/897659860/397.ts
好消息,http://iptvpro.pw:35451//加QQ1078393318/897659860/401.ts
好消息2台,http://iptvpro.pw:35451//加QQ1078393318/897659860/402.ts
华藏卫视,http://iptvpro.pw:35451//加QQ1078393318/897659860/398.ts
人间卫视,http://iptvpro.pw:35451//加QQ1078393318/897659860/395.ts
十方法界,http://iptvpro.pw:35451//加QQ1078393318/897659860/400.ts
希望频道,http://iptvpro.pw:35451//加QQ1078393318/897659860/405.ts
诚心电视台,http://iptvpro.pw:35451//加QQ1078393318/897659860/403.ts
生命电视台,http://iptvpro.pw:35451//加QQ1078393318/897659860/404.ts
无上师电视台,http://iptvpro.pw:35451//加QQ1078393318/897659860/399.ts
NHKWORLDJAPAN,http://iptvpro.pw:35451//加QQ1078393318/897659860/388.ts
ELTV生活英语台,http://iptvpro.pw:35451//加QQ1078393318/897659860/392.ts
LiveABC互动英语频道,http://iptvpro.pw:35451//加QQ1078393318/897659860/391.ts
CinemaxH265,http://iptvpro.pw:35451//加QQ1078393318/897659860/430.ts
好莱坞电影H265,http://iptvpro.pw:35451//加QQ1078393318/897659860/409.ts
JET综合台H265,http://iptvpro.pw:35451//加QQ1078393318/897659860/408.ts
MOMO综合台H265,http://iptvpro.pw:35451//加QQ1078393318/897659860/436.ts
MOMO亲子台H265,http://iptvpro.pw:35451//加QQ1078393318/897659860/435.ts
TVBSH265,http://iptvpro.pw:35451//加QQ1078393318/897659860/412.ts
TVBS欢乐台H265,http://iptvpro.pw:35451//加QQ1078393318/897659860/413.ts
东森幼幼H265,http://iptvpro.pw:35451//加QQ1078393318/897659860/414.ts
东森戏剧H265,http://iptvpro.pw:35451//加QQ1078393318/897659860/416.ts
东森综合H265,http://iptvpro.pw:35451//加QQ1078393318/897659860/415.ts
东森财经H265,http://iptvpro.pw:35451//加QQ1078393318/897659860/417.ts
中天娱乐H265,http://iptvpro.pw:35451//加QQ1078393318/897659860/411.ts
中天综合H265,http://iptvpro.pw:35451//加QQ1078393318/897659860/410.ts
三立新闻H265,http://iptvpro.pw:35451//加QQ1078393318/897659860/418.ts
三立台湾台H265,http://iptvpro.pw:35451//加QQ1078393318/897659860/419.ts
三立都会台H265,http://iptvpro.pw:35451//加QQ1078393318/897659860/420.ts
国兴卫视H265,http://iptvpro.pw:35451//加QQ1078393318/897659860/431.ts
壹新闻台H265,http://iptvpro.pw:35451//加QQ1078393318/897659860/407.ts
年代新闻台H265,http://iptvpro.pw:35451//加QQ1078393318/897659860/406.ts
年代MUCH台H265,http://iptvpro.pw:35451//加QQ1078393318/897659860/434.ts
纬来戏剧H265,http://iptvpro.pw:35451//加QQ1078393318/897659860/426.ts
纬来日本H265,http://iptvpro.pw:35451//加QQ1078393318/897659860/427.ts
纬来电影H265,http://iptvpro.pw:35451//加QQ1078393318/897659860/429.ts
纬来综合H265,http://iptvpro.pw:35451//加QQ1078393318/897659860/425.ts
纬来育乐H265,http://iptvpro.pw:35451//加QQ1078393318/897659860/428.ts
八大综合H265,http://iptvpro.pw:35451//加QQ1078393318/897659860/421.ts
八大戏剧H265,http://iptvpro.pw:35451//加QQ1078393318/897659860/423.ts
八大第一H265,http://iptvpro.pw:35451//加QQ1078393318/897659860/422.ts
动物星球H265,http://iptvpro.pw:35451//加QQ1078393318/897659860/433.ts
TLC旅遊生活台H265,http://iptvpro.pw:35451//加QQ1078393318/897659860/432.ts
TaiWanPlusH265,http://iptvpro.pw:35451//加QQ1078393318/897659860/437.ts
大陆CN,#genre#
CCTV-1(CN),http://iptvpro.pw:35451//加QQ1078393318/897659860/475.ts
CCTV-11080P(CN),http://iptvpro.pw:35451//加QQ1078393318/897659860/533.ts
CCTV-2(CN),http://iptvpro.pw:35451//加QQ1078393318/897659860/476.ts
CCTV-21080P(CN),http://iptvpro.pw:35451//加QQ1078393318/897659860/534.ts
CCTV-3(CN),http://iptvpro.pw:35451//加QQ1078393318/897659860/477.ts
CCTV-31080P(CN),http://iptvpro.pw:35451//加QQ1078393318/897659860/535.ts
CCTV-4(CN),http://iptvpro.pw:35451//加QQ1078393318/897659860/478.ts
CCTV-41080P(CN),http://iptvpro.pw:35451//加QQ1078393318/897659860/536.ts
CCTV-6(CN),http://iptvpro.pw:35451//加QQ1078393318/897659860/480.ts
CCTV-61080P(CN),http://iptvpro.pw:35451//加QQ1078393318/897659860/539.ts
CCTV-7(CN),http://iptvpro.pw:35451//加QQ1078393318/897659860/481.ts
CCTV-71080P(CN),http://iptvpro.pw:35451//加QQ1078393318/897659860/540.ts
CCTV-8(CN),http://iptvpro.pw:35451//加QQ1078393318/897659860/482.ts
CCTV-81080P(CN),http://iptvpro.pw:35451//加QQ1078393318/897659860/541.ts
CCTV-9(CN),http://iptvpro.pw:35451//加QQ1078393318/897659860/483.ts
CCTV-91080P(CN),http://iptvpro.pw:35451//加QQ1078393318/897659860/542.ts
CCTV-10(CN),http://iptvpro.pw:35451//加QQ1078393318/897659860/484.ts
CCTV-101080P(CN),http://iptvpro.pw:35451//加QQ1078393318/897659860/543.ts
CCTV-11(CN),http://iptvpro.pw:35451//加QQ1078393318/897659860/485.ts
CCTV-111080P(CN),http://iptvpro.pw:35451//加QQ1078393318/897659860/544.ts
CCTV-12(CN),http://iptvpro.pw:35451//加QQ1078393318/897659860/486.ts
CCTV-121080P(CN),http://iptvpro.pw:35451//加QQ1078393318/897659860/545.ts
CCTV-14(CN),http://iptvpro.pw:35451//加QQ1078393318/897659860/488.ts
CCTV-141080P(CN),http://iptvpro.pw:35451//加QQ1078393318/897659860/547.ts
CCTV-15(CN),http://iptvpro.pw:35451//加QQ1078393318/897659860/489.ts
CCTV-151080P(CN),http://iptvpro.pw:35451//加QQ1078393318/897659860/548.ts
CCTV-16(CN),http://iptvpro.pw:35451//加QQ1078393318/897659860/490.ts
CCTV-161080P(CN),http://iptvpro.pw:35451//加QQ1078393318/897659860/549.ts
CCTV-17(CN),http://iptvpro.pw:35451//加QQ1078393318/897659860/491.ts
CCTV-171080P(CN),http://iptvpro.pw:35451//加QQ1078393318/897659860/550.ts
上海东方卫视(CN),http://iptvpro.pw:35451//加QQ1078393318/897659860/494.ts
上海东方卫视1080P(CN),http://iptvpro.pw:35451//加QQ1078393318/897659860/552.ts
北京卫视(CN),http://iptvpro.pw:35451//加QQ1078393318/897659860/493.ts
北京卫视1080P(CN),http://iptvpro.pw:35451//加QQ1078393318/897659860/551.ts
江苏卫视(CN),http://iptvpro.pw:35451//加QQ1078393318/897659860/497.ts
江苏卫视1080P(CN),http://iptvpro.pw:35451//加QQ1078393318/897659860/554.ts
浙江卫视(CN),http://iptvpro.pw:35451//加QQ1078393318/897659860/496.ts
浙江卫视1080P(CN),http://iptvpro.pw:35451//加QQ1078393318/897659860/553.ts
广东卫视(CN),http://iptvpro.pw:35451//加QQ1078393318/897659860/498.ts
广东卫视1080P(CN),http://iptvpro.pw:35451//加QQ1078393318/897659860/556.ts
深圳卫视(CN),http://iptvpro.pw:35451//加QQ1078393318/897659860/499.ts
深圳卫视1080P(CN),http://iptvpro.pw:35451//加QQ1078393318/897659860/557.ts
湖南卫视(CN),http://iptvpro.pw:35451//加QQ1078393318/897659860/495.ts
湖南卫视1080P(CN),http://iptvpro.pw:35451//加QQ1078393318/897659860/555.ts
天津卫视(CN),http://iptvpro.pw:35451//加QQ1078393318/897659860/500.ts
天津卫视1080P(CN),http://iptvpro.pw:35451//加QQ1078393318/897659860/558.ts
山东卫视(CN),http://iptvpro.pw:35451//加QQ1078393318/897659860/506.ts
山东卫视1080P(CN),http://iptvpro.pw:35451//加QQ1078393318/897659860/563.ts
辽宁卫视(CN),http://iptvpro.pw:35451//加QQ1078393318/897659860/502.ts
辽宁卫视1080P(CN),http://iptvpro.pw:35451//加QQ1078393318/897659860/560.ts
吉林卫视(CN),http://iptvpro.pw:35451//加QQ1078393318/897659860/503.ts
吉林卫视1080P(CN),http://iptvpro.pw:35451//加QQ1078393318/897659860/561.ts
黑龙江卫视(CN),http://iptvpro.pw:35451//加QQ1078393318/897659860/504.ts
